2022-08-25 09:48:51.640 +03:00 [INF] Selam, millet!
2022-08-26 10:11:49.461 +03:00 [INF] Selam, millet!
2022-08-26 10:13:34.652 +03:00 [INF] Selam, millet!
2022-08-26 10:17:26.608 +03:00 [INF] Selam, millet!
2022-08-26 10:17:46.032 +03:00 [INF] Selam, millet!
2022-08-26 10:20:29.377 +03:00 [INF] Selam, millet!
2022-08-26 10:21:52.911 +03:00 [INF] Selam, millet!
2022-08-26 10:24:13.308 +03:00 [INF] Selam, millet!
2022-08-26 10:25:11.520 +03:00 [INF] Selam, millet!
2022-08-26 10:25:33.002 +03:00 [INF] Selam, millet!
2022-08-26 10:52:25.692 +03:00 [INF] Selam, millet!
2022-08-26 11:01:36.489 +03:00 [INF] Selam, millet!
2022-08-26 11:03:55.844 +03:00 [INF] Selam, millet!
2022-08-26 11:04:15.131 +03:00 [INF] Selam, millet!
2022-08-26 11:04:24.454 +03:00 [INF] Selam, millet!
2022-08-26 11:07:48.397 +03:00 [INF] Selam, millet!
2022-08-26 11:21:25.213 +03:00 [INF] Selam, millet!
2022-08-26 11:23:31.794 +03:00 [INF] Selam, millet!
2022-08-26 11:24:22.835 +03:00 [INF] Selam, millet!
2022-08-26 11:24:39.844 +03:00 [INF] Selam, millet!
2022-08-26 11:24:51.916 +03:00 [INF] Selam, millet!
2022-08-26 11:25:27.083 +03:00 [INF] Selam, millet!
2022-08-26 11:26:09.935 +03:00 [INF] Selam, millet!
2022-08-26 11:26:35.695 +03:00 [INF] Selam, millet!
2022-08-26 11:26:38.769 +03:00 [INF] Selam, millet!
2022-08-26 11:26:46.460 +03:00 [INF] Selam, millet!
2022-08-26 11:26:46.976 +03:00 [INF] Selam, millet!
2022-08-26 11:26:57.474 +03:00 [INF] Selam, millet!
2022-08-26 11:27:17.502 +03:00 [INF] Selam, millet!
2022-08-26 11:28:36.775 +03:00 [INF] Selam, millet!
2022-08-26 11:39:46.379 +03:00 [INF] Selam, millet!
2022-08-26 11:41:23.749 +03:00 [INF] Selam, millet!
2022-08-26 11:43:36.100 +03:00 [INF] Selam, millet!
2022-08-26 14:16:30.706 +03:00 [INF] Selam, millet!
2022-08-26 14:24:01.927 +03:00 [INF] Selam, millet!
2022-08-26 14:24:45.111 +03:00 [INF] Selam, millet!
2022-08-26 15:11:30.857 +03:00 [INF] Selam, millet!
2022-08-26 15:12:42.673 +03:00 [INF] Selam, millet!
2022-08-26 15:15:35.748 +03:00 [INF] Selam, millet!
2022-08-26 15:15:42.800 +03:00 [INF] Selam, millet!
2022-08-26 15:15:57.835 +03:00 [INF] Selam, millet!
2022-08-26 15:17:32.901 +03:00 [INF] Selam, millet!
2022-08-26 15:18:10.255 +03:00 [INF] Selam, millet!
2022-08-26 15:18:55.256 +03:00 [INF] Selam, millet!
2022-08-26 15:19:12.048 +03:00 [INF] Selam, millet!
2022-08-26 15:20:19.749 +03:00 [INF] Selam, millet!
2022-08-26 15:20:26.173 +03:00 [INF] Selam, millet!
2022-08-26 15:20:28.382 +03:00 [INF] Selam, millet!
2022-08-26 15:20:28.803 +03:00 [INF] Selam, millet!
2022-08-26 15:20:36.210 +03:00 [INF] Selam, millet!
2022-08-26 15:20:36.855 +03:00 [INF] Selam, millet!
2022-08-26 15:20:46.339 +03:00 [INF] Selam, millet!
2022-08-26 15:20:47.015 +03:00 [INF] Selam, millet!
2022-08-26 15:21:07.773 +03:00 [INF] Selam, millet!
2022-08-26 15:22:32.301 +03:00 [INF] Selam, millet!
2022-08-26 15:22:41.775 +03:00 [INF] Selam, millet!
2022-08-26 15:22:53.986 +03:00 [INF] Selam, millet!
2022-08-26 15:24:09.916 +03:00 [INF] Selam, millet!
2022-08-26 15:24:13.285 +03:00 [INF] Selam, millet!
2022-08-26 15:24:44.872 +03:00 [INF] Selam, millet!
2022-08-26 15:24:54.851 +03:00 [INF] Selam, millet!
2022-08-26 15:25:18.996 +03:00 [INF] Selam, millet!
2022-08-26 15:25:23.021 +03:00 [INF] Selam, millet!
2022-08-26 15:25:27.978 +03:00 [INF] Selam, millet!
2022-08-26 15:27:44.907 +03:00 [INF] Selam, millet!
2022-08-26 15:28:13.475 +03:00 [INF] Selam, millet!
2022-08-26 15:28:47.275 +03:00 [INF] Selam, millet!
2022-08-26 15:29:10.941 +03:00 [INF] Selam, millet!
2022-08-26 15:29:20.164 +03:00 [INF] Selam, millet!
2022-08-26 15:29:27.257 +03:00 [INF] Selam, millet!
2022-08-26 15:29:37.273 +03:00 [INF] Selam, millet!
2022-08-26 15:29:53.874 +03:00 [INF] Selam, millet!
2022-08-26 15:30:37.067 +03:00 [INF] Selam, millet!
2022-08-26 15:31:20.975 +03:00 [INF] Selam, millet!
2022-08-26 15:40:22.682 +03:00 [INF] Selam, millet!
2022-08-26 15:44:57.572 +03:00 [INF] Selam, millet!
2022-08-26 15:45:29.335 +03:00 [INF] Selam, millet!
2022-08-26 15:45:38.009 +03:00 [INF] Selam, millet!
2022-08-26 15:49:55.480 +03:00 [INF] Selam, millet!
2022-08-26 15:50:15.377 +03:00 [INF] Selam, millet!
2022-08-26 15:50:41.688 +03:00 [INF] Selam, millet!
2022-08-26 15:53:05.559 +03:00 [INF] Selam, millet!
2022-08-26 15:54:41.688 +03:00 [INF] Selam, millet!
2022-08-26 15:56:37.308 +03:00 [INF] Selam, millet!
2022-08-26 15:57:29.292 +03:00 [INF] Selam, millet!
2022-08-26 15:57:31.294 +03:00 [INF] Selam, millet!
2022-08-26 15:58:52.884 +03:00 [INF] Selam, millet!
2022-08-26 15:59:18.795 +03:00 [INF] Selam, millet!
2022-08-26 16:00:08.859 +03:00 [INF] Selam, millet!
2022-08-26 16:00:54.265 +03:00 [INF] Selam, millet!
2022-08-26 16:01:10.370 +03:00 [INF] Selam, millet!
2022-08-26 16:01:34.874 +03:00 [INF] Selam, millet!
2022-08-26 16:01:41.960 +03:00 [INF] Selam, millet!
2022-08-26 16:01:58.725 +03:00 [INF] Selam, millet!
2022-08-26 16:03:03.522 +03:00 [INF] Selam, millet!
2022-08-26 16:04:02.441 +03:00 [INF] Selam, millet!
2022-08-26 16:04:52.472 +03:00 [INF] Selam, millet!
2022-08-26 16:05:21.103 +03:00 [INF] Selam, millet!
2022-08-26 16:09:34.658 +03:00 [INF] Selam, millet!
2022-08-26 16:10:35.648 +03:00 [INF] Selam, millet!
2022-08-26 16:11:14.093 +03:00 [INF] Selam, millet!
2022-08-26 16:13:52.154 +03:00 [INF] Selam, millet!
2022-08-26 16:14:38.274 +03:00 [INF] Selam, millet!
2022-08-26 16:15:07.239 +03:00 [INF] Selam, millet!
2022-08-26 16:15:27.855 +03:00 [INF] Selam, millet!
2022-08-26 16:15:56.691 +03:00 [INF] Selam, millet!
2022-08-26 16:16:07.025 +03:00 [INF] Selam, millet!
2022-08-26 16:16:29.200 +03:00 [INF] Selam, millet!
2022-08-26 16:17:10.221 +03:00 [INF] Selam, millet!
2022-08-26 16:17:23.741 +03:00 [INF] Selam, millet!
2022-08-26 16:17:40.247 +03:00 [INF] Selam, millet!
2022-08-26 16:17:59.844 +03:00 [INF] Selam, millet!
2022-08-26 16:21:23.648 +03:00 [INF] Selam, millet!
2022-08-26 16:21:54.498 +03:00 [INF] Selam, millet!
2022-08-26 16:22:36.744 +03:00 [INF] Selam, millet!
2022-08-26 16:26:05.404 +03:00 [INF] Selam, millet!
2022-08-26 16:26:38.262 +03:00 [INF] Selam, millet!
2022-08-26 16:26:50.094 +03:00 [INF] Selam, millet!
2022-08-26 16:27:03.095 +03:00 [INF] Selam, millet!
2022-08-26 16:27:53.149 +03:00 [INF] Selam, millet!
2022-08-26 18:41:14.532 +03:00 [INF] Selam, millet!
2022-08-26 18:42:48.342 +03:00 [INF] Selam, millet!
2022-08-26 18:44:18.937 +03:00 [INF] Selam, millet!
2022-08-26 18:44:56.936 +03:00 [INF] Selam, millet!
2022-08-26 18:45:31.462 +03:00 [INF] Selam, millet!
2022-08-26 18:46:25.202 +03:00 [INF] Selam, millet!
2022-08-26 18:47:58.484 +03:00 [INF] Selam, millet!
2022-08-26 18:50:51.702 +03:00 [INF] Selam, millet!
2022-08-26 18:53:25.980 +03:00 [INF] Selam, millet!
2022-08-26 18:55:29.695 +03:00 [INF] Selam, millet!
2022-08-26 18:57:37.000 +03:00 [INF] Selam, millet!
2022-08-26 19:00:02.178 +03:00 [INF] Selam, millet!
2022-08-26 19:00:54.119 +03:00 [INF] Selam, millet!
2022-08-26 19:07:14.745 +03:00 [INF] Selam, millet!
2022-08-26 19:07:21.344 +03:00 [INF] Selam, millet!
2022-08-26 19:07:37.403 +03:00 [INF] Selam, millet!
2022-08-26 19:20:14.036 +03:00 [INF] Selam, millet!
2022-08-26 19:22:47.845 +03:00 [INF] Selam, millet!
2022-08-26 19:24:54.060 +03:00 [INF] Selam, millet!
2022-08-26 19:28:30.259 +03:00 [INF] Selam, millet!
2022-08-26 19:29:22.620 +03:00 [INF] Selam, millet!
2022-08-26 19:58:49.897 +03:00 [INF] Selam, millet!
2022-08-26 19:59:33.313 +03:00 [INF] Selam, millet!
2022-08-26 20:06:05.082 +03:00 [INF] Selam, millet!
2022-08-26 20:17:21.192 +03:00 [INF] Selam, millet!
2022-08-26 20:17:29.093 +03:00 [INF] Selam, millet!
2022-08-26 20:17:40.264 +03:00 [INF] Selam, millet!
2022-08-26 20:18:06.122 +03:00 [INF] Selam, millet!
2022-08-26 20:19:55.401 +03:00 [INF] Selam, millet!
2022-08-26 20:20:38.574 +03:00 [INF] Selam, millet!
2022-08-26 20:20:50.159 +03:00 [INF] Selam, millet!
2022-08-26 20:25:37.068 +03:00 [INF] Selam, millet!
